From,RelationType,To
"Vector3d",usa,"Vector3"
"Vector3d",usa,"Vector3i"
"Vector3d",usa,"MathHelper"
"ValidateSimplificationOptionsException",hereda,"Exception"
"Vertex",implementa,"IEquatable"
"Vertex",usa,"Vector3d"
"Vertex",usa,"SymmetricMatrix"
"UVChannels",usa,"MeshUtils"
"UVChannels",usa,"ResizableArray"
"Vector2",implementa,"IEquatable"
"Vector2",usa,"Vector2d"
"Vector2",usa,"Vector2i"
"MathHelper",usa,"Vector3"
"MathHelper",usa,"Vector3d"
"Program",usa,"MathHelper"
"Program",usa,"ObjMesh"
"Program",usa,"Mesh"
"Program",usa,"MeshDecimation"
"Program",usa,"Algorithm"
"ObjMesh",usa,"FaceIndex"
"ObjMesh",usa,"Vector3d"
"ObjMesh",usa,"Vector3"
"ObjMesh",usa,"Vector2"
"FaceIndex",implementa,"IEquatable"
"DecimatedObjectEditor",hereda,"Editor"
"DecimatedObjectEditor",usa,"DecimatedObject"
"BoneWeight",implementa,"IEquatable"
"BoneWeight",usa,"Vector4"
"MeshData",usa,"Vector3"
"Program",usa,"MeshData"
"Program",usa,"PipelineStats"
"Program",usa,"PiezaRota"
"Program",usa,"Vector3"
"Program",usa,"Vector3d"
"Program",usa,"Mesh"
"Program",usa,"FastQuadricMeshSimplification"
"Program",usa,"MeshDecimation"
"Program",usa,"Vector4"
"FastQuadricMeshSimplification",hereda,"DecimationAlgorithm"
"FastQuadricMeshSimplification",usa,"Vector3d"
"FastQuadricMeshSimplification",usa,"SymmetricMatrix"
"FastQuadricMeshSimplification",usa,"BorderVertex"
"FastQuadricMeshSimplification",usa,"BorderVertexComparer"
"FastQuadricMeshSimplification",usa,"Triangle"
"FastQuadricMeshSimplification",usa,"Vertex"
"FastQuadricMeshSimplification",usa,"Ref"
"FastQuadricMeshSimplification",usa,"Vector3"
"FastQuadricMeshSimplification",usa,"Vector4"
"FastQuadricMeshSimplification",usa,"Vector2"
"FastQuadricMeshSimplification",usa,"BoneWeight"
"FastQuadricMeshSimplification",usa,"Logging"
"FastQuadricMeshSimplification",usa,"MathHelper"
"FastQuadricMeshSimplification",usa,"Mesh"
"FastQuadricMeshSimplification",usa,"ResizableArray"
"FastQuadricMeshSimplification",usa,"UVChannels"
"Triangle",usa,"Vector3d"
"Vertex",usa,"Vector3d"
"Vertex",usa,"SymmetricMatrix"
"BorderVertexComparer",implementa,"IComparer"
"BorderVertexComparer",usa,"BorderVertex"
"Vector4d",implementa,"IEquatable"
"Vector4d",usa,"Vector4"
"Vector4d",usa,"Vector4i"
"Vector4",implementa,"IEquatable"
"Vector4",usa,"Vector4d"
"Vector4",usa,"Vector4i"
"Vector3i",implementa,"IEquatable"
"Vector3i",usa,"Vector3"
"Vector3i",usa,"Vector3d"
"Vector3d",implementa,"IEquatable"
"Vector3d",usa,"Vector3"
"Vector3d",usa,"Vector3i"
"Vector3d",usa,"MathHelper"
"Vector4i",implementa,"IEquatable"
"Vector4i",usa,"Vector4"
"Vector4i",usa,"Vector4d"
"MeshDecimation",usa,"DecimationAlgorithm"
"MeshDecimation",usa,"Algorithm"
"MeshDecimation",usa,"FastQuadricMeshSimplification"
"MeshDecimation",usa,"Mesh"
"Mesh",usa,"Vector3d"
"Mesh",usa,"Vector3"
"Mesh",usa,"Vector4"
"Mesh",usa,"Vector2"
"Mesh",usa,"BoneWeight"
"Mesh",usa,"MathHelper"
"Logging",usa,"ILogger"
"Logging",usa,"ConsoleLogger"
"BoneWeight",implementa,"IEquatable"
"BoneWeight",usa,"Vector4"
"MeshSimplifier",usa,"MeshUtils"
"MeshSimplifier",usa,"SimplificationOptions"
"MeshSimplifier",usa,"Triangle"
"MeshSimplifier",usa,"Vertex"
"MeshSimplifier",usa,"Ref"
"MeshSimplifier",usa,"Vector3"
"MeshSimplifier",usa,"Vector4"
"MeshSimplifier",usa,"Vector2"
"MeshSimplifier",usa,"BoneWeight"
"MeshSimplifier",usa,"BlendShapeContainer"
"MeshSimplifier",usa,"Mesh"
"MeshSimplifier",usa,"SymmetricMatrix"
"MeshSimplifier",usa,"Vector3d"
"MeshSimplifier",usa,"MathHelper"
"MeshSimplifier",usa,"BorderVertex"
"MeshSimplifier",usa,"BorderVertexComparer"
"MeshSimplifier",usa,"BlendShape"
"MeshSimplifier",usa,"ValidateSimplificationOptionsException"
"MeshSimplifier",usa,"ResizableArray"
"MeshSimplifier",usa,"UVChannels"
"BlendShape",usa,"BlendShapeFrame"
"BlendShapeFrame",usa,"Vector3"
"MeshUtilsTest",usa,"Mesh"
"MeshUtilsTest",usa,"Vector3"
"MeshUtilsTest",usa,"BlendShape"
"MeshUtilsTest",usa,"BlendShapeFrame"
"MeshUtilsTest",usa,"MeshUtils"
"MeshUtilsTest",usa,"Vector4"
"MeshUtilsTest",usa,"Vector2"
"MeshUtilsTest",usa,"BoneWeight"
"ExportarGeometria",usa,"Mesh"
"FastQuadricMeshSimplification",hereda,"DecimationAlgorithm"
"FastQuadricMeshSimplification",usa,"Vector3d"
"FastQuadricMeshSimplification",usa,"SymmetricMatrix"
"FastQuadricMeshSimplification",usa,"BorderVertex"
"FastQuadricMeshSimplification",usa,"BorderVertexComparer"
"FastQuadricMeshSimplification",usa,"Triangle"
"FastQuadricMeshSimplification",usa,"Vertex"
"FastQuadricMeshSimplification",usa,"Ref"
"FastQuadricMeshSimplification",usa,"Vector3"
"FastQuadricMeshSimplification",usa,"Vector4"
"FastQuadricMeshSimplification",usa,"Vector2"
"FastQuadricMeshSimplification",usa,"BoneWeight"
"FastQuadricMeshSimplification",usa,"Logging"
"FastQuadricMeshSimplification",usa,"MathHelper"
"FastQuadricMeshSimplification",usa,"Mesh"
"FastQuadricMeshSimplification",usa,"ResizableArray"
"FastQuadricMeshSimplification",usa,"UVChannels"
"Triangle",usa,"Vector3d"
"Vertex",usa,"Vector3d"
"Vertex",usa,"SymmetricMatrix"
"BorderVertexComparer",implementa,"IComparer"
"BorderVertexComparer",usa,"BorderVertex"
"DecimationAlgorithm",usa,"MathHelper"
"DecimationAlgorithm",usa,"Mesh"
"Vector3",implementa,"IEquatable"
"Vector3",usa,"Vector3d"
"Vector3",usa,"Vector3i"
"Vector3",usa,"MathHelper"
"Vector2i",implementa,"IEquatable"
"Vector2i",usa,"Vector2"
"Vector2i",usa,"Vector2d"
"Vector2d",implementa,"IEquatable"
"Vector2d",usa,"Vector2"
"Vector2d",usa,"Vector2i"
"Vector4d",implementa,"IEquatable"
"Vector4d",usa,"Vector4"
"Vector4d",usa,"Vector4i"
"Vector4",implementa,"IEquatable"
"Vector4",usa,"Vector4d"
"Vector4",usa,"Vector4i"
"Vector3i",implementa,"IEquatable"
"Vector3i",usa,"Vector3"
"Vector3i",usa,"Vector3d"
"MathHelper",usa,"Vector3"
"MathHelper",usa,"Vector3d"
"MeshDecimation",usa,"DecimationAlgorithm"
"MeshDecimation",usa,"Algorithm"
"MeshDecimation",usa,"FastQuadricMeshSimplification"
"MeshDecimation",usa,"Mesh"
"Mesh",usa,"Vector3d"
"Mesh",usa,"Vector3"
"Mesh",usa,"Vector4"
"Mesh",usa,"Vector2"
"Mesh",usa,"BoneWeight"
"Mesh",usa,"MathHelper"
"MeshCombiner",usa,"Mesh"
"MeshCombiner",usa,"Vector3"
"MeshCombiner",usa,"Vector4"
"MeshCombiner",usa,"BoneWeight"
"MeshCombiner",usa,"MeshUtils"
"LODGenerator",usa,"Mesh"
"LODGenerator",usa,"LODGeneratorHelper"
"LODGenerator",usa,"SimplificationOptions"
"LODGenerator",usa,"LODLevel"
"LODGenerator",usa,"MeshSimplifier"
"LODGenerator",usa,"RendererInfo"
"LODGenerator",usa,"MeshCombiner"
"LODGenerator",usa,"Vector3"
"LODGenerator",usa,"LODBackupComponent"
"RendererInfo",usa,"Mesh"
