ClassName,Namespace,Kind,File,Lines,Methods,Fields,Properties,BaseClass,Interfaces,Uses
"BlendShapeContainer","UnityMeshSimplifier.Internal","class","BlendShapeContainer.cs",51,5,2,0,"","","BlendShapeFrameContainer; BlendShape; Vector3; BlendShapeFrame"
"Vector3d","UnityMeshSimplifier","struct","Vector3d.cs",469,18,5,3,"","IEquatable","Vector3; MathHelper"
"SymmetricMatrix","UnityMeshSimplifier","struct","SymmetricMatrix.cs",280,8,10,0,"","",""
"MathHelper","UnityMeshSimplifier","static class","MathHelper.cs",81,3,6,0,"","","Vector3d"
"SerializedPropertyExtensions","UnityMeshSimplifier.Editor","static class","SerializedPropertyExtensions.cs",18,1,0,0,"","",""
"LODGeneratorHelperEditor","UnityMeshSimplifier.Editor","class","LODGeneratorHelperEditor.cs",657,19,40,0,"Editor","","LODGeneratorHelper; IOUtils; LODGenerator"
"LODGeneratorHelper","UnityMeshSimplifier","class","LODGeneratorHelper.cs",138,1,7,7,"MonoBehaviour","","SimplificationOptions; LODLevel"
"UVChannels","MeshDecimator.Collections","class","UVChannels.cs",70,2,2,1,"","","Mesh; ResizableArray"
"ResizableArray","MeshDecimator.Collections","class","ResizableArray.cs",144,7,3,2,"","",""
"ConsoleLogger","MeshDecimator.Loggers","class","ConsoleLogger.cs",29,3,0,0,"","ILogger",""
"Vector4i","MeshDecimator.Math","struct","Vector4i.cs",353,11,5,2,"","IEquatable","Vector4; Vector4d"
"Vector3d","MeshDecimator.Math","struct","Vector3d.cs",446,18,5,3,"","IEquatable","Vector3; Vector3i; MathHelper"
"ValidateSimplificationOptionsException","UnityMeshSimplifier","class","ValidateSimplificationOptionsException.cs",43,2,1,2,"Exception","",""
"Vertex","UnityMeshSimplifier.Internal","struct","Vertex.cs",45,4,8,0,"","IEquatable","Vector3d; SymmetricMatrix"
"UVChannels","UnityMeshSimplifier.Internal","class","UVChannels.cs",61,2,3,1,"","","MeshUtils; ResizableArray"
"Vector2","MeshDecimator.Math","struct","Vector2.cs",390,15,4,3,"","IEquatable","Vector2d; Vector2i"
"SymmetricMatrix","MeshDecimator.Math","struct","SymmetricMatrix.cs",269,8,10,0,"","",""
"MathHelper","MeshDecimator.Math","static class","MathHelper.cs",252,18,6,0,"","","Vector3; Vector3d"
"Program","MeshDecimatorTool","class","Program.cs",111,2,0,0,"","","MathHelper; ObjMesh; Mesh; MeshDecimation; Algorithm"
"ObjMesh","MeshDecimatorTool","class","ObjMesh.cs",853,12,9,9,"","","FaceIndex; Vector3d; Vector3; Vector2"
"FaceIndex","MeshDecimatorTool","struct","ObjMesh.cs",40,5,4,0,"","IEquatable",""
"DecimatedObjectEditor","MeshDecimator.UnityEditor","class","DecimatedObjectEditor.cs",174,4,5,1,"Editor","","DecimatedObject"
"BoneWeight","MeshDecimator","struct","BoneWeight.cs",214,8,8,0,"","IEquatable","Vector4"
"MeshData","ConvertidorGeometrias","class","Program.cs",14,0,12,0,"","","Vector3"
"PipelineStats","ConvertidorGeometrias","class","Program.cs",19,0,19,0,"","",""
"PiezaRota","ConvertidorGeometrias","class","Program.cs",7,0,4,0,"","",""
"Program","ConvertidorGeometrias","class","Program.cs",1206,27,10,0,"","","MeshData; PipelineStats; PiezaRota; Vector3; Vector3d; Mesh; FastQuadricMeshSimplification; MeshDecimation; Vector4"
"FastQuadricMeshSimplification","MeshDecimator.Algorithms","class","FastQuadricMeshSimplification.cs",1490,17,21,6,"DecimationAlgorithm","","Vector3d; SymmetricMatrix; BorderVertex; BorderVertexComparer; Triangle; Vertex; Ref; Vector3; Vector4; Vector2; BoneWeight; Logging; MathHelper; Mesh; ResizableArray; UVChannels"
"Triangle","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",101,4,14,0,"","","Vector3d"
"Vertex","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",21,1,7,0,"","","Vector3d; SymmetricMatrix"
"Ref","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",11,1,2,0,"","",""
"BorderVertex","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",11,1,2,0,"","",""
"BorderVertexComparer","MeshDecimator.Algorithms","class","FastQuadricMeshSimplification.cs",9,1,1,0,"","IComparer","BorderVertex"
"Vector4d","MeshDecimator.Math","struct","Vector4d.cs",432,15,6,3,"","IEquatable","Vector4; Vector4i"
"Vector4","MeshDecimator.Math","struct","Vector4.cs",432,15,6,3,"","IEquatable","Vector4d; Vector4i"
"Vector3i","MeshDecimator.Math","struct","Vector3i.cs",333,11,4,2,"","IEquatable","Vector3; Vector3d"
"Vector3d","MeshDecimator.Math","struct","Vector3d.cs",446,18,5,3,"","IEquatable","Vector3; Vector3i; MathHelper"
"Vector4i","MeshDecimator.Math","struct","Vector4i.cs",353,11,5,2,"","IEquatable","Vector4; Vector4d"
"Algorithm","MeshDecimator","enum","MeshDecimation.cs",11,0,2,0,"","",""
"MeshDecimation","MeshDecimator","static class","MeshDecimation.cs",128,7,0,0,"","","DecimationAlgorithm; Algorithm; FastQuadricMeshSimplification; Mesh"
"Mesh","MeshDecimator","class","Mesh.cs",919,23,11,13,"","","Vector3d; Vector3; Vector4; Vector2; BoneWeight; MathHelper"
"ILogger","MeshDecimator","interface","Logging.cs",20,3,0,0,"","",""
"Logging","MeshDecimator","static class","Logging.cs",116,7,2,1,"","","ILogger; ConsoleLogger"
"BoneWeight","MeshDecimator","struct","BoneWeight.cs",214,8,8,0,"","IEquatable","Vector4"
"MeshSimplifier","UnityMeshSimplifier","class","MeshSimplifier.cs",2265,45,25,22,"","","MeshUtils; SimplificationOptions; Triangle; Vertex; Ref; Vector3; Vector4; Vector2; BoneWeight; BlendShapeContainer; Mesh; SymmetricMatrix; Vector3d; MathHelper; BorderVertex; BorderVertexComparer; BlendShape; ValidateSimplificationOptionsException; ResizableArray; UVChannels"
"BlendShape","UnityMeshSimplifier","struct","BlendShape.cs",24,1,2,0,"","","BlendShapeFrame"
"BlendShapeFrame","UnityMeshSimplifier","struct","BlendShape.cs",36,1,4,0,"","","Vector3"
"MeshUtilsTest","UnityMeshSimplifier.Editor.Tests","class","MeshUtilsTest.cs",507,8,0,0,"","","Mesh; Vector3; BlendShape; BlendShapeFrame; MeshUtils; Vector4; Vector2; BoneWeight"
"ExportarGeometria","","static class","ExportarGeometria.cs",172,4,2,0,"","","Mesh"
"FastQuadricMeshSimplification","MeshDecimator.Algorithms","class","FastQuadricMeshSimplification.cs",1490,17,21,6,"DecimationAlgorithm","","Vector3d; SymmetricMatrix; BorderVertex; BorderVertexComparer; Triangle; Vertex; Ref; Vector3; Vector4; Vector2; BoneWeight; Logging; MathHelper; Mesh; ResizableArray; UVChannels"
"Triangle","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",101,4,14,0,"","","Vector3d"
"Vertex","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",21,1,7,0,"","","Vector3d; SymmetricMatrix"
"Ref","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",11,1,2,0,"","",""
"BorderVertex","MeshDecimator.Algorithms","struct","FastQuadricMeshSimplification.cs",11,1,2,0,"","",""
"BorderVertexComparer","MeshDecimator.Algorithms","class","FastQuadricMeshSimplification.cs",9,1,1,0,"","IComparer","BorderVertex"
"DecimationAlgorithm","MeshDecimator.Algorithms","abstract class","DecimationAlgorithm.cs",129,5,4,5,"","","MathHelper; Mesh"
"Vector3","MeshDecimator.Math","struct","Vector3.cs",459,19,5,3,"","IEquatable","Vector3d; Vector3i; MathHelper"
"Vector2i","MeshDecimator.Math","struct","Vector2i.cs",313,11,3,2,"","IEquatable","Vector2; Vector2d"
"Vector2d","MeshDecimator.Math","struct","Vector2d.cs",390,15,4,3,"","IEquatable","Vector2; Vector2i"
"Vector4d","MeshDecimator.Math","struct","Vector4d.cs",432,15,6,3,"","IEquatable","Vector4; Vector4i"
"Vector4","MeshDecimator.Math","struct","Vector4.cs",432,15,6,3,"","IEquatable","Vector4d; Vector4i"
"Vector3i","MeshDecimator.Math","struct","Vector3i.cs",333,11,4,2,"","IEquatable","Vector3; Vector3d"
"MathHelper","MeshDecimator.Math","static class","MathHelper.cs",252,18,6,0,"","","Vector3; Vector3d"
"Algorithm","MeshDecimator","enum","MeshDecimation.cs",11,0,2,0,"","",""
"MeshDecimation","MeshDecimator","static class","MeshDecimation.cs",128,7,0,0,"","","DecimationAlgorithm; Algorithm; FastQuadricMeshSimplification; Mesh"
"Mesh","MeshDecimator","class","Mesh.cs",919,23,11,13,"","","Vector3d; Vector3; Vector4; Vector2; BoneWeight; MathHelper"
"MeshCombiner","UnityMeshSimplifier","static class","MeshCombiner.cs",444,12,0,0,"","","Mesh; Vector3; Vector4; BoneWeight; MeshUtils"
"LODLevel","UnityMeshSimplifier","struct","LODLevel.cs",210,3,13,13,"","",""
"LODGenerator","UnityMeshSimplifier","static class","LODGenerator.cs",787,23,4,0,"","","Mesh; LODGeneratorHelper; SimplificationOptions; LODLevel; MeshSimplifier; RendererInfo; MeshCombiner; Vector3; LODBackupComponent"
"RendererInfo","UnityMeshSimplifier","struct","LODGenerator.cs",11,0,8,0,"","","Mesh"
